"x","y","z","type"
-84.8623878605155,-1.46487196211857,1,"Spp_1"
-84.7237028281119,-2.76488862360454,1,"Spp_1"
-85.0094434449416,-2.68283566266919,1,"Spp_1"
-84.671216167521,-2.39143844458221,1,"Spp_1"
-85.068571849767,-2.98704226502874,1,"Spp_1"
-85.1419977039671,-2.6682708568198,1,"Spp_1"
-84.8922554856355,-2.77095935481599,1,"Spp_1"
-85.182960713918,-2.36917325607755,1,"Spp_1"
-84.6160656106302,-1.89456837437095,1,"Spp_1"
-84.9930017048936,-2.69531531916354,1,"Spp_1"
-84.8807385832579,-1.95862128601754,2,"Spp_1"
-84.8614233301598,-2.45013777535657,2,"Spp_1"
-84.974319638085,-2.44681773434275,2,"Spp_1"
-85.2492420527877,-2.75443567845402,2,"Spp_1"
-85.0956231066235,-2.75714718840782,2,"Spp_1"
-84.6573281885845,-2.25221220859088,2,"Spp_1"
-85.2496190977542,-2.17491295800624,2,"Spp_1"
-84.827074089582,-2.36100328662772,2,"Spp_1"
-85.0288741795891,-1.87235136140555,2,"Spp_1"
-84.4066367908762,-2.4160772260222,2,"Spp_1"
-84.9720304455446,-2.61686709405943,3,"Spp_1"
-85.2238273633035,-2.35865132327736,3,"Spp_1"
-84.824120799899,-1.92212155163999,3,"Spp_1"
-84.7847404504675,-2.5892803714103,3,"Spp_1"
-84.7839238865356,-2.45990287718218,3,"Spp_1"
-84.7936914643276,-2.47149660049884,3,"Spp_1"
-84.6553081542348,-2.10741982785255,3,"Spp_1"
-84.4631151489995,-2.26761320410278,3,"Spp_1"
-84.443054597564,-2.57081583415591,3,"Spp_1"
-84.7942240939106,-2.63698175058733,3,"Spp_1"
-84.3273160498322,-2.24095535782422,4,"Spp_1"
-84.9797546395275,-2.14778365690153,4,"Spp_1"
-84.2120061636615,-2.49632353057555,4,"Spp_1"
-84.7643355362295,-2.78515138864846,4,"Spp_1"
-84.4154593611391,-3.0684971094488,4,"Spp_1"
-84.7715948279635,-2.86911663858625,4,"Spp_1"
-84.7745695047247,-2.55193065196116,4,"Spp_1"
-84.7438215924101,-2.13483175067371,4,"Spp_1"
-84.8536414781008,-2.18878755259469,4,"Spp_1"
-84.9815488239704,-2.37496099179659,4,"Spp_1"
-84.1660501357574,-2.40333439149198,5,"Spp_1"
-84.6858648056223,-2.22081973443682,5,"Spp_1"
-84.7742230799703,-2.25972044074425,5,"Spp_1"
-84.3168987471231,-2.47151066977017,5,"Spp_1"
-84.7332071089024,-2.79734972404729,5,"Spp_1"
-84.4617581526877,-2.97937650044845,5,"Spp_1"
-84.5565908098559,-2.15244307655147,5,"Spp_1"
-84.5387263277161,-2.65198814591012,5,"Spp_1"
-84.7977209020873,-2.59624340703748,5,"Spp_1"
-84.6518617709031,-2.37325882796057,5,"Spp_1"
-84.7232229844667,-2.73347602004561,6,"Spp_1"
-84.9620157280246,-2.54328246183475,6,"Spp_1"
-84.4439342187515,-2.86219884115699,6,"Spp_1"
-84.2897783863757,-2.50322716346729,6,"Spp_1"
-84.2491768125158,-2.41965454631351,6,"Spp_1"
-84.964209272856,-2.45495272600836,6,"Spp_1"
-84.9985199525204,-2.5661716591739,6,"Spp_1"
-84.4044115800252,-2.60437865040999,6,"Spp_1"
-84.3128777692714,-2.90928127894209,6,"Spp_1"
-84.4141436260026,-2.60820311874376,6,"Spp_1"
-84.2365853311383,-3.06544743884707,7,"Spp_1"
-84.6799303930275,-2.55510983792809,7,"Spp_1"
-84.7807480283549,-2.61527358379079,7,"Spp_1"
-84.4849033297512,-2.82895659152718,7,"Spp_1"
-84.4737064597861,-2.7407214869307,7,"Spp_1"
-84.1929807919197,-3.3273120558855,7,"Spp_1"
-84.1918369416848,-2.95863503185028,7,"Spp_1"
-84.676331598671,-2.96106200051718,7,"Spp_1"
-84.6740652432216,-3.11344372651659,7,"Spp_1"
-84.4155413303776,-2.71336947071024,7,"Spp_1"
-84.5744099226932,-2.64555034151772,8,"Spp_1"
-84.7888542742783,-3.67369945297347,8,"Spp_1"
-84.3341463547155,-3.03873691677307,8,"Spp_1"
-83.9853961652665,-3.00867113442445,8,"Spp_1"
-84.5947296125559,-2.9035316133973,8,"Spp_1"
-84.3100459405428,-3.05675235456358,8,"Spp_1"
-84.4737041876413,-2.60918450720245,8,"Spp_1"
-84.4472792288953,-3.09108451710561,8,"Spp_1"
-84.2827867482746,-3.14417799643995,8,"Spp_1"
-84.4573784979816,-3.11667364859297,8,"Spp_1"
-84.4998699117505,-3.18643506365136,9,"Spp_1"
