"","lon","lat"
"1",-70.49305725,-23.84363937
"2",-70.4688797,-23.74445915
"3",-70.39221954,-23.58053589
"4",-70.5630722,-23.51223946
"5",-70.61917114,-23.48141479
"6",-70.45054626,-23.46886635
"7",-70.51277161,-23.46835136
"8",-70.59780121,-23.3958149
"9",-70.56971741,-23.18777275
"10",-70.4633255,-23.08275032
"11",-70.55247498,-23.04613876
"12",-70.49552155,-23.02419281
"13",-70.33583832,-23.00557327
"14",-70.29556274,-22.84864044
"15",-70.28501892,-22.71668816
"16",-70.24835205,-22.50641251
"17",-70.19197083,-22.07554817
"18",-70.18641663,-21.8989048
"19",-70.14360809,-21.78637505
"20",-70.13336182,-21.61500359
"21",-70.06941223,-21.50471115
"22",-70.07308197,-21.38862991
"23",-70.07669067,-21.32084846
"24",-70.06752014,-21.30858612
"25",-70.15553284,-21.03752136
"26",-70.1330719,-20.92636681
"27",-70.19248962,-20.81612968
"28",-70.19638062,-20.51612854
"29",-70.17249298,-20.39139748
"30",-70.17025757,-20.34527206
"31",-70.14418793,-20.24414635
"32",-70.1463623,-20.13110161
"33",-70.125,-20
"34",-70.125,-19.998
"35",-70.125,-19.996
"36",-70.125,-19.995
"37",-70.125,-19.993
"38",-70.126,-19.993
"39",-70.126,-19.989
"40",-70.125,-19.988
"41",-70.125,-19.987
"42",-70.126,-19.986
"43",-70.126,-19.985
"44",-70.127,-19.984
"45",-70.127,-19.983
"46",-70.128,-19.982
"47",-70.128,-19.981
"48",-70.129,-19.98
"49",-70.129,-19.978
"50",-70.13,-19.977
"51",-70.13,-19.976
"52",-70.13,-19.975
"53",-70.13,-19.974
"54",-70.133,-19.972
"55",-70.133,-19.972
"56",-70.135,-19.97
"57",-70.135,-19.969
"58",-70.135,-19.968
"59",-70.135,-19.967
"60",-70.135,-19.967
"61",-70.136,-19.967
"62",-70.137,-19.966
"63",-70.138,-19.966
"64",-70.139,-19.965
"65",-70.139,-19.963
"66",-70.14,-19.962
"67",-70.14,-19.96
"68",-70.14,-19.959
"69",-70.14,-19.958
"70",-70.139,-19.958
"71",-70.139,-19.955
"72",-70.14,-19.954
"73",-70.14,-19.953
"74",-70.14,-19.952
"75",-70.14,-19.951
"76",-70.141,-19.95
"77",-70.141,-19.947
"78",-70.14,-19.947
"79",-70.14,-19.944
"80",-70.14,-19.943
"81",-70.14,-19.942
"82",-70.143,-19.938
"83",-70.143,-19.938
"84",-70.144,-19.937
"85",-70.144,-19.934
